RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_Materials,SMG_Materials,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
10,6,14,1,2,1,3,0,1,1,1,0,4,2,1,1,2,"{""object_names"": [""SYMONS\u2019S EARTH THERMOMETER""], ""makers"": [""L. Casella, Esq.""], ""materials"": [], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""This arrangement was designed by G. J. Symons to obviate the difficulties encountered in obtaining ground temperature at different depths.""], ""other"": [""Inv. 1893-155""]}","{""object_names"": [""George James Symons type earth thermometer""], ""makers"": [""George James Symons"", ""Louis Paschal Casella"", ""Casella""], ""materials"": [""iron tube""], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""George James Symons type earth thermometer, with iron tube, by Louis Paschal Casella, 1874 Meteorology earth thermometer; earth thermometer""], ""other"": [""1874""]}"
11,6,6,1,1,1,0,0,1,1,1,0,0,2,2,1,1,"{""object_names"": [], ""makers"": [""The Meteorological Office""], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""The bulb of this thermometer is of annular form, and encloses a cylindrical air space running almost the whole length of the bulb, thereby exposing a larger area, and accelerating the action of the thermometer.""], ""other"": [""Inv. 1915-154""]}","{""object_names"": [""Hollow-bulb mercury thermometer""], ""makers"": [], ""materials"": [""mercury""], ""dates"": [""1875""], ""places"": [], ""descriptions"": [""scale not divided""], ""other"": [""Meteorology thermometers"", ""thermometers""]}"
12,6,10,1,1,1,1,0,0,1,1,0,4,2,2,1,1,"{""object_names"": [""WATER THERMOMETER""], ""makers"": [], ""materials"": [], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""designed specially for measuring the temperature of water"", ""of the type supplied to observers at sea""], ""other"": [""Lent by The Meteorological Office""]}","{""object_names"": [""Marine thermometer""], ""makers"": [], ""materials"": [], ""dates"": [""c. 1890""], ""places"": [""London, UK"", ""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology marine thermometer""], ""other"": [""B.T. [Board of Trade] 4208""]}"
13,9,13,1,2,1,2,1,0,1,1,1,3,4,3,1,2,"{""object_names"": [""BOILING POINT THERMOMETER""], ""makers"": [""The Admiralty""], ""materials"": [""mercury-in-glass""], ""dates"": [""1901""], ""places"": [""British Antarctic Expedition""], ""descriptions"": [""adapted for hypsometrical measurements"", ""graduated to read from 180\u00b0 F. to 215\u00b0 F. in fifths of a degree"", ""Immediately above the bulb is an enlargement of the bore""], ""other"": [""Inv. 1911-168""]}","{""object_names"": [""Boiling-point thermometer (ex Antarctic Expedition, 1901)""], ""makers"": [""L. Casella, London, England""], ""materials"": [], ""dates"": [""1895-1898""], ""places"": [""London, England"", ""United Kingdom""], ""descriptions"": [""Meteorology boiling point thermometer"", ""boiling point thermometer""], ""other"": [""1895-1898 London, England, United Kingdom""]}"
14,10,9,1,1,1,1,3,0,1,1,0,4,3,1,1,1,"{""object_names"": [], ""makers"": [], ""materials"": [""mercury-in-glass"", ""long bulb of narrow bore"", ""mounted fully exposed to the air""], ""dates"": [], ""places"": [], ""descriptions"": [""very sensitive thermometer"", ""constructed in order to obtain accurate indications of the temperature of the layers of air through which a balloon might be passing rapidly"", ""delicacy of construction, however, renders it very fragile, and liable to damage from the bumping which frequently accompanies balloon descents""], ""other"": [""Inv. 1894-117"", ""Lent by The Meteorological Office"", ""graduated in degrees from -10\u00b0 to 105\u00b0 F""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""London"", ""England"", ""Greater London"", ""United Kingdom""], ""descriptions"": [""Meteorology balloon thermometer""], ""other"": [""balloon thermometer 1894""]}"
15,13,10,1,2,1,1,3,0,1,1,0,4,5,2,2,0,"{""object_names"": [""AEROPLANE THERMOMETER""], ""makers"": [""The Meteorological Office""], ""materials"": [""coloured liquid"", ""polished metal cover"", ""strut""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""designed for use on aeroplanes, for indicating atmospheric temperature"", ""has now been replaced by an improved type"", ""consists of a large bulb filled with coloured liquid, which also partially fills the long column"", ""The bulb is enclosed in a polished metal cover, which affords protection from sunshine, and is ventilated to allow free passage of the air"", ""The thermometer, which is mounted on a strut of the aeroplane some distance from the engine, is somewhat sluggish in action, and is unreliable when the machine is ascending or descending rapidly"", ""graduated in degrees from 40\u00b0 to 82\u00b0 F""], ""other"": [""Inv. 1919-516""]}","{""object_names"": [""Aeroplane thermometer"", ""aircraft thermometer""], ""makers"": [""James J. Hicks""], ""materials"": [], ""dates"": [""1919""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology aircraft thermometer""], ""other"": []}"
16,9,12,1,2,1,2,1,0,1,1,0,4,4,2,1,1,"{""object_names"": [""PHILLIPS'S MAXIMUM THERMOMETER""], ""makers"": [""L. Casella, Esq.""], ""materials"": [""mercury-in-glass""], ""dates"": [], ""places"": [], ""descriptions"": [""the temperature is registered by means of a separate portion of the column"", ""the index of which is a portion of the mercurial column separated from the remainder by an air bubble"", ""The instrument is mounted horizontally, so that with a rise of temperature the detached portion moves to the right, but remains in its extreme position on a subsequent fall of temperature"", ""The end of the index further from the bulb then indicates the maximum temperature attained""], ""other"": [""Inv. 1893-153""]}","{""object_names"": [""Phillips type maximum thermometer"", ""Meteorology maximum thermometer""], ""makers"": [""L. Casella, London"", ""Phillips, Prof.""], ""materials"": [], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""First devised by Prof. Phillips in 1832"", ""phillips type""], ""other"": [""1832""]}"
17,12,11,1,1,1,1,1,0,2,1,0,4,5,2,2,2,"{""object_names"": [], ""makers"": [], ""materials"": [""solid glass enamel""], ""dates"": [""1921-318""], ""places"": [], ""descriptions"": [""self-registering instrument"", ""to indicate the maximum temperature reached since the previous observation"", ""The thermometer stem is bent at right angles about an inch above the bulb"", ""near the bend is inserted a small piece of solid glass enamel which acts as a valve, allowing mercury to pass over it only on the application of heat"", ""On subsequent cooling the column of mercury which has passed the valve cannot recede past the constriction, so that it remains in position and registers the maximum temperature"", ""After a reading has been taken the thermometer can be reset by gently shaking the mercury past the constriction, until the lower portion of the stem is completely filled"", ""The instrument is graduated in degrees from 10\u00b0 F. to 146\u00b0 F.""], ""other"": [""Pat. Specn., No. 14002 of 1852"", ""Inv. 1921-318""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology maximum thermometer"", ""maximum thermometer""], ""other"": [""maker""]}"
18,12,6,1,1,1,1,2,0,2,0,0,0,5,2,1,2,"{""object_names"": [""RUTHERFORD'S MINIMUM THERMOMETER""], ""makers"": [""L. Casella, Esq.""], ""materials"": [""spirit thermometer"", ""glass index""], ""dates"": [""1794"", ""1893""], ""places"": [], ""descriptions"": [""designed by Dr. Rutherford in 1794 and is still in use."", ""in the column of which is a glass index."", ""mounted horizontally so that a decrease of temperature causes the spirit to recede to the left, carrying back the index to the lowest position, where it remains when the temperature subsequently rises."", ""minimum temperature is then registered by the end of the index remote from the bulb."", ""instrument is set by tilting until the index slides up to the meniscus."", ""scale is etched on the thermometer stem and graduated in degrees from 0\u00b0 to 135\u00b0 F."", ""(See Trans. Roy. Soc., Edin., 1794.)""], ""other"": [""Inv. 1893-158.""]}","{""object_names"": [""Rutherford minimum thermometer""], ""makers"": [""L. Casella""], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Meteorology thermometer, minimum"", ""thermometer, minimum""], ""other"": [""L. Casella"", ""L. Casella""]}"
19,10,13,1,2,1,2,1,0,1,1,0,4,5,3,1,1,"{""object_names"": [""STANDARD MINIMUM THERMOMETER""], ""makers"": [], ""materials"": [""alcohol thermometer""], ""dates"": [], ""places"": [], ""descriptions"": [""This self-registering minimum thermometer is constructed on the principle proposed by Rutherford in 1794."", ""This alcohol thermometer is used horizontally and a small glass index floats in the spirit, its end furthest from the bulb being flattened."", ""The instrument is set by inclining it with the bulb uppermost, until the index reaches the meniscus of the indicating column, after which it is again placed in the horizontal position."", ""Any subsequent decrease of temperature causes the index to be drawn back to the lowest point to which the alcohol recedes, but an increase of temperature has no effect, so that the end of the index remote from the bulb registers the minimum temperature which has been attained."", ""Made and lent by Messrs. Negretti and Zambra.""], ""other"": [""Inv. 1921-319""]}","{""object_names"": [""Standard Rutherford minimum thermometer""], ""makers"": [""Rutherford, John, Baron""], ""materials"": [], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology minimum thermometer"", ""minimum thermometer""], ""other"": [""1790 (designed)""]}"
20,9,9,1,1,1,1,2,1,1,1,0,3,3,1,1,1,"{""object_names"": [""MINIMUM ALCOHOL THERMOMETER""], ""makers"": [], ""materials"": [""alcohol"", ""ebonite""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""constructed on Rutherford's principle"", ""provided with a forked bulb which increases its sensitiveness"", ""The stem is graduated in degrees from - 20\u00b0 to 118\u00b0 F""], ""other"": [""Inv. 1893-152""]}","{""object_names"": [""Minimum thermometer with bifurcated bulb""], ""makers"": [""Louis Casella""], ""materials"": [""ebonite""], ""dates"": [""c. 1873""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology minimum thermometer; minimum thermometer 1873""], ""other"": [""L. Casella""]}"
21,15,7,1,1,2,2,1,0,2,1,0,0,6,1,3,2,"{""object_names"": [], ""makers"": [""G. J. Symons, F.R.S.""], ""materials"": [""steel index""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""to indicate the minimum temperature attained since a prior observation was made."", ""The large bulb of the thermometer is connected to a fine capillary tube, above which and continuous with it is a tube of wider bore, provided with a graduated scale and terminating at its upper end in a small bulb."", ""A steel index pointed at both ends is free to move along the wider tube, and when set for observation its upper point is brought to the mercury level."", ""With any contraction of the mercury column, the index falls by its own weight, but with increase of temperature the mercury expands and rises in the tube, passing the index and forcing it to the side of the tube, where it remains firmly fixed, and indicates the minimum temperature reached by the position of its upper point."", ""A magnet serves to adjust the index, thereby setting the instrument for another observation."", ""The scale is graduated in degrees from - 47\u00b0 to 126\u00b0 F.""], ""other"": [""MERCURIAL MINIMUM THERMOMETER"", ""Pat. Specn., No. 2306 of 1855"", ""Inv. 1893-129""]}","{""object_names"": [], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Thermometer broken.""], ""other"": [""Meteorology minimum thermometer"", ""minimum thermometer""]}"
22,11,9,1,1,1,1,1,1,1,1,0,3,6,2,1,0,"{""object_names"": [""MERCURIAL MINIMUM THERMOMETER""], ""makers"": [""Messrs. C. F. Casella & Co., Ltd.""], ""materials"": [""mercury in glass thermometer""], ""dates"": [""1861""], ""places"": [], ""descriptions"": [""designed and patented by Mr. L. M. Casella in 1861, to indicate the minimum temperature attained subsequent to the previous reading"", ""ordinary mercury in glass thermometer, supported with its stem horizontal"", ""About 1.5 in. from the bulb this horizontal stem is fitted with a lateral chamber, shouldered near its extremity, into which the mercury expands as the temperature rises, while the position of the mercury in the indicating stem remains stationary"", ""Subsequent fall of temperature causes the mercury to recede in the stem, while that in the lateral chamber is unaffected"", ""In this way the thermometer continually indicates the minimum temperature attained since it was last set"", ""(See Pat. Specn., No. 2100 of 1861.)""], ""other"": [""Inv. 1921-314""]}","{""object_names"": [""Mercury maximum thermometer""], ""makers"": [""L. Casella""], ""materials"": [""Mercury""], ""dates"": [""1861-1872""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology maximum thermometer"", ""maximum thermometer""], ""other"": []}"
23,13,8,2,2,1,2,1,1,2,1,0,0,6,2,1,0,"{""object_names"": [""HICKS MERCURIAL MINIMUM THERMOMETER""], ""makers"": [], ""materials"": [""platinum wire""], ""dates"": [""1922"", ""1861""], ""places"": [], ""descriptions"": [""the temperature is ascertained by the measurement of a detached portion of the mercurial column"", ""In the bulb is a piece of platinum wire extending from a contraction at the neck to the bottom, and above the bulb is a small air bubble by which the column is divided"", ""During a fall of temperature, mercury passes below the air bubble (when it is in its lowest position at the neck of the bulb) into the bulb, thus shortening the column"", ""on the temperature rising, the air bubble is raised and carries along with it the detached column unaltered in length"", ""To take a reading, the zero of the scale is brought into line with the upper part of the air bubble, when the number corresponding to the top of the upper column will give the minimum temperature"", ""See Pat. Specn., 1861, No. 1244""], ""other"": [""Inv. 1915-420""]}","{""object_names"": [""Hicks patent mercurial minimum thermometer with brass sliding scale""], ""makers"": [""James Joseph Hicks""], ""materials"": [""brass""], ""dates"": [], ""places"": [], ""descriptions"": [""Meteorology thermometer, minimum"", ""thermometer, minimum""], ""other"": []}"
24,13,11,1,2,1,1,1,0,2,1,0,4,7,3,1,0,"{""object_names"": [""MERCURIAL MINIMUM THERMOMETER""], ""makers"": [], ""materials"": [""mercurial""], ""dates"": [""1921-320""], ""places"": [], ""descriptions"": [""self-registering instrument"", ""Attached to the stem of the thermometer, and about an inch above the cylindrical bulb, is a supplementary tube, in which is inserted a small platinum plug."", ""The thermometer is used horizontally, and if it is inclined the mercury flows along the supplementary tube until it reaches the plug."", ""On a decrease of temperature the mercury will fall in the indicating column until it attains its minimum temperature, and on a subsequent increase of temperature the mercury will rise in the supplementary tube, so that the indicating column will continue to register the minimum temperature."", ""To reset the instrument, the bulb end of the thermometer is raised until the mercury again comes in contact and is checked by the plug."", ""Designed and patented in 1862."", ""Designed and patented by Messrs. Negretti and Zambra in 1862, to indicate the minimum temperature reached since the previous observation.""], ""other"": [""Pat. Specn., No. 1223 of 1862.""]}","{""object_names"": [""Minimum thermometer"", ""mercurial minimum thermometer""], ""makers"": [], ""materials"": [], ""dates"": [], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Meteorology minimum thermometer"", ""minimum thermometer""], ""other"": []}"
25,12,9,1,1,1,1,2,0,2,1,0,0,5,3,1,3,"{""object_names"": [], ""makers"": [""Messrs. Dring and Fage""], ""materials"": [""alcohol"", ""creosote""], ""dates"": [""1782""], ""places"": [], ""descriptions"": [""designed to furnish a continuous indication of both the maximum and minimum temperature experienced since the setting of the instrument"", ""consists of a U tube, one arm of which is again bent downwards, while a bulb is provided at each extremity"", ""The long cylindrical bulb is filled with alcohol or creosote, the other bulb being partially filled with the same liquid and also containing a bubble of air under pressure."", ""Mercury is contained in the lower half of the V-tube, and as the temperature rises, the liquid in the filled bulb expands and pushes in front of it the column of mercury at either end of which is a steel index coated with glass, which is enabled to retain its position in the tube by means of an attached hair."", ""The index on the right is thus pushed upwards and remains at the extreme point to which it is pushed, the maximum temperature being then indicated by the position of its lower extremity. A subsequent fall of temperature moves the mercury column to the left, pushing the left hand index upwards, thus indicating the minimum temperature. The instrument is set for observation by adjusting the steel indexes to the ends of the mercury column by means of a magnet.""], ""other"": [""Inv. 1876-856""]}","{""object_names"": [], ""makers"": [""Dring and Fage""], ""materials"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Meteorology thermometer"", ""thermometer 1876 Six, James; Dring and Fage""], ""other"": [""1876"", ""1876"", ""1876""]}"
26,11,9,1,3,1,2,2,0,2,1,0,2,4,1,1,0,"{""object_names"": [""RUTHERFORD'S MAXIMUM AND MINIMUM THERMOMETERS""], ""makers"": [""The Royal Meteorological Society""], ""materials"": [""mercurial"", ""spirit""], ""dates"": [""1794""], ""places"": [], ""descriptions"": [""originally designed by Dr. Rutherford in 1794, are shown together on the same frame"", ""mounted horizontally, the maximum one being uppermost and consisting of a mercury in glass instrument, provided with a steel index which is pushed along by the mercury column as the temperature rises"", ""provided with a glass index which recedes with the indicating column on a fall of temperature, but does not change its position when the temperature rises"", ""This form of maximum thermometer is not now in common use, but the minimum thermometer is frequently employed.""], ""other"": [""Inv. 1915-421""]}","{""object_names"": [""Rutherford type maximum and minimum thermometer"", ""Meteorology maximum & minimum thermometer"", ""maximum & minimum thermometer""], ""makers"": [""Lake & Son""], ""materials"": [], ""dates"": [], ""places"": [""Taunton, Somerset, England""], ""descriptions"": [""Rutherford type""], ""other"": [""Taunton"", ""Lake & Son"", ""Rutherford, Daniel""]}"
27,11,8,2,1,1,1,0,1,1,1,0,0,5,2,2,2,"{""object_names"": [""SIX'S THERMOMETER WITH FLAT BULB""], ""makers"": [], ""materials"": [], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""modification of the Six's thermometer of 1782"", ""thin flat bulb being fitted to increase its sensitiveness"", ""identical in principle to the Six's thermometer shown adjacent"", ""large bulb is specially designed, however, so as to present as large a surface to the air as possible, thereby increasing the sensitiveness of the instrument and reducing its lag"", ""Lent by S. G. Denton, Esq.""], ""other"": [""1782""]}","{""object_names"": [""Six's thermometer""], ""makers"": [""Denton""], ""materials"": [""very flat bulb""], ""dates"": [""1876""], ""places"": [], ""descriptions"": [""by Denton, 1876"", ""Meteorology thermometer; thermometer 1876 Six, James; Denton, S G""], ""other"": []}"
28,12,12,1,2,1,1,2,0,1,2,0,4,6,2,1,1,"{""object_names"": [""DIMENUON THERMOMETER""], ""makers"": [], ""materials"": [""spirit"", ""mercury""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""similar in principle to Six's instrument"", ""constructed to hang horizontally instead of vertically"", ""The tube is in the form of a U, having a bulb at each extremity"", ""one being completely filled with spirit, and the other containing spirit and also a bubble of air under pressure"", ""As the temperature rises, the liquid in the filled bulb expands and pushes in front of it a column of mercury, having an iron index at each end"", ""As the temperature decreases the mercury is allowed to move back and pushes the lower index to the left. The indexes remain at the furthest point to which they are pushed by the mercury as it travels forwards or backwards, and thus indicate both maximum and minimum temperatures, the readings being taken from the ends of the indexes nearest the mercury. They are reset by tilting the instrument so that they fall by their own weight on to the mercury column""], ""other"": [""Inv. 1921-311""]}","{""object_names"": [""Maximum and minimum thermometer"", ""Dimenuon thermometer""], ""makers"": [], ""materials"": [], ""dates"": [""c. 1906"", ""1908-1913""], ""places"": [""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""a horizontal form of Six's maximum and minimum thermometer"", ""self-registering""], ""other"": [""Meteorology""]}"
